"","arrowtooth flounder","big skate","black rockfish","bocaccio","butter sole","canary rockfish","chilipepper","curlfin sole","darkblotched rockfish","Dover sole","English sole","flathead sole","greenspotted rockfish","greenstriped rockfish","kelp greenling","lingcod","longnose skate","Pacific cod","Pacific ocean perch","Pacific sanddab","Pacific spiny dogfish","petrale sole","pygmy rockfish","redbanded rockfish","redstripe rockfish","rex sole","rosethorn rockfish","rougheye and blackspotted rockfish","sablefish","sand sole","sandpaper skate","sharpchin rockfish","shortbelly rockfish","shortspine thornyhead","silvergray rockfish","southern rock sole","splitnose rockfish","spotted ratfish","stripetail rockfish","widow rockfish","yelloweye rockfish","yellowtail rockfish"
"197706620005",0.621024835494162,0,0,0,0,0.453549886545217,0,0,0,0.252270963128438,0,0.252270963128438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197706620006",0.224033501204905,0,0,0,0,0.561521854550607,0,0,0,0,0,0.224033501204905,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25593773079132,0,0,0.224033501204905,0,0,0,0,0,0,0,0,0,0,0,0,0
"197706620007",0,0,0,0,0,0.269255752000981,0,0,0,0,0,0,0,0,0,0,0.269255752000981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197706620008",0.269255752000981,0,0,0,0,0,0,0,0,0.655948626494814,0,0.269255752000981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655948626494814,0,0,0,0,0,0,0,0.269255752000981,0,0,0,0,0,0,0,0
"197706620009",0.98367815490201,0,0,0.512649855718235,0,3.01659243047071,0,0,0,1.99636469162235,0,0,0,0.69542695100189,0,0,0,0,1.67767842576312,0,0,0,0,0,4.12080373458949,1.46984225857668,0.849902888460862,0,0.849902888460862,0,0,3.12524928117255,0,1.38971207073264,0.512649855718235,0,0,0.288822607341771,0.288822607341771,0,0.288822607341771,0
"198006019052",1.40874843452605,0,0,0.753272384315232,0,0.247629118390967,0,0,0.611369855366568,1.47517871325074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17800186099211,0,0,0,0,0,0.753272384315232,0,0,0.247629118390967
"198006019060",0,0,0,0.27869394437701,0,1.27290807876193,0,0,1.51192021712291,3.23579655049905,0,0,0,2.53135303223883,0,0.27869394437701,1.07446205698894,0,0,0,1.64446468360177,0.826633575771662,0.675089404700742,0,0,0,2.3648164962803,0,0.27869394437701,0,0,0,2.2011138354679,0,0,0,0,1.17859961462318,0,2.33414993197205,2.30251309616184,0.826633575771662
"198006019071",0.334809260019654,0,0,0,0,0.334809260019654,0,0,0.334809260019654,2.64782126592492,0.334809260019654,0,0,0,0,0.585198616045934,0.334809260019654,0,0,0,1.60477459109232,0,0,0,0,0.585198616045934,0,0,0.334809260019654,0,0,0,0,0.585198616045934,0,0,0,0.334809260019654,0,0,0,2.80392246131271
"198006019073",0,0,0,0,0,0,0,0.276711972208301,0,0,2.38714501752526,0,0,0,0,0.493215230035435,0,0,0,0.822044171968309,0,2.12011417996196,0,0,0,2.19384796402204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198006019110",0,0,0,0,0,0,0,0,0,0,3.19779132790346,0,0,0,0,0.216759552358742,0,0,0,0,0.216759552358742,1.84450991215587,0,0,0,2.95248058233558,0,0,0,0.216759552358742,0,0,0,0.216759552358742,0,0,0.793095268935417,0,0,0,0,0
"198006019117",1.34798621862609,0,0,1.486048832768,0,0,0,0,0,3.37456886274668,0,0,0,1.76548925400435,0,0,0.250732674062508,0,0,0,0,0.250732674062508,0,0.250732674062508,0.760743272928102,1.76548925400435,0,0,2.56253061992463,0,0,1.18776179352853,3.08202725409642,3.5025865706987,0.451032986006205,0,0,1.81309647489824,2.02210770717183,0.885762518978525,0,0.250732674062508
"198006019125",0,0,0,0,0,0,0,0,0,0.804670442462895,2.46933991659549,0,0,0,0,0,0.269255752000981,0,0,3.89594281950529,0,1.32996442389845,0,0,0,2.52032409607085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198006019127",0,0,0,0,0,0,0,0,0,0,0.211020503813018,0,0,0,0,0,0,0,0,0,0,0.211020503813018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198006019134",0.481178303131529,0,0,0.481178303131529,0,0,1.92728165760372,0,0,3.96274100780471,3.32798559185315,0,0,0,0,0,0,0,3.00357009002631,0,0,0,0,0,1.04870023295529,2.59223485333696,0.481178303131529,0,5.4525839797185,0,0,0.804670442462895,0,0,0,0,0.804670442462895,1.04870023295529,3.30557226274802,0,0,0
"198006019141",0,0,0,0,0,0,0,0,0.601852069888339,0.243076005154324,0,0,0,0,0,0,0,0,0,0,0.243076005154324,0.243076005154324,0,0,0,0.601852069888339,0,0,0,0,0,0,0,0,0,0,0,0.243076005154324,0,0,0,0
"198006019142",0,0,0,0,0,0,0,0,0,0.27869394437701,2.53135303223883,0,0,0,0,0,0.27869394437701,0,0,3.82856313881785,0,1.43841910036088,0,0,0,3.90908338093018,0,0,0.27869394437701,0,0,0,0,0,0,0,0,1.51192021712291,0,0,0,0
"198006019147",0,0,0,0,0,0,0,0,0,0.784118958765585,2.09714111877922,0,0,0,0,0,0,0,0,2.98315349134713,0,0.467023001107538,0,0,0,2.55759638315629,0,0,0,0,0,0,0,0,0,0,0,0.467023001107538,0,0,0,0
"198006019157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605046913767298,0,0,0,1.58505872061673,0,0.605046913767298,0,0,0,0.74595347362001,0,0,0,0,0,0,0,0,0,0,0,0.74595347362001,0,0,0,0
"198006019158",0,0,0,0,0,0,0,0,0,0,0.475381585356593,0,0,0,0,0.475381585356593,0,0,0,0,0,0.475381585356593,0,0,0,0.648642299960783,0,0,1.23387474292228,0.265677197271928,0,0,0,0,0,0,0,0,0,0,0,0.265677197271928
"198006019159",0,0,0,0,0,0,0,0,0,0,1.84966331465636,0,0,0,0,0.512649855718235,0,0,0,1.84966331465636,0,0.288822607341771,0,0,0,1.38971207073264,0,0,0,0,0,0,0,0,0,0,0,0.288822607341771,0,0,0,0
"198006019160",0,0,0,0,0,0,0,0,0,0,0.968167910285448,0,0,0,0,0,0,0,0,0.502740853816108,0,0.683030963629263,0,0,0,1.45073097063051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198006019169",0,0,0,0,0,0,0,0,0,0,0.502740853816108,0,0,0,0,0,0,0,0,0.502740853816108,0,0,0,0,0,0.502740853816108,0,0,0.282636756162517,0,0,0,0,0,0,0,0,0,0,0,0,0
"198006019170",0.269255752000981,0,0,0,0,0,0,0,0,0,2.26713577523796,0,0,0,0,0.655948626494814,0,0,0,2.16616345626295,0,1.88126766066282,0,0,0,2.38763150743331,0,0,0,0,0,0,0,0,0,0,0,0.481178303131529,0,0,0,0
"198006019177",0,0,0,0,0,0,0,0,0,0,0.61783057092404,0,0,0,0,0.250732674062508,0,0,0,1.18776179352853,0,0.996874536641605,0,0,0,0.760743272928102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198006019191",0,0,0,0,0,0,0,0,0,2.64221755205568,0.231814856196336,0,0,0,0,0,0,0,0,4.15281318098681,0.578105949739452,0.834833925700558,0,0,0,4.60131282605804,0,0,0.71468606818979,0,0,0,0,0,0,0,0,0,0,0,0,0
"198006019193",0.288822607341771,0,0,0,0,0.288822607341771,0,0,0.512649855718235,1.94981515076343,0.98367815490201,0,0,0,0,0.288822607341771,0,0,0,0.288822607341771,0.288822607341771,0.98367815490201,0,0,0,2.96615001512034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198006019197",0.4964055839805,0,0,0,0,0,0,0,0,1.81522299300903,0.4964055839805,0,0,0.4964055839805,0,0.27869394437701,0,0,0.958205618633682,0,0,0.27869394437701,0,0.675089404700742,3.40941883230128,1.96103157396719,1.81522299300903,0,0.958205618633682,0,0,5.88968817064,0.826633575771662,0,0,0,2.55659965632441,0,0,0,0.27869394437701,1.81522299300903
"198006019198",0,0,0,0,0,0,0,0,0,2.01340688527852,0.804670442462895,0,0,0,0,0.481178303131529,0,0,0,0.481178303131529,0,0,0,0,0,1.83303382147289,0,0,0,0,0,1.97127117937495,0,0,0,0,0,0.269255752000981,0,0,0,0
"198006019212",0.683030963629263,0,0,0,0,0.968167910285448,0,0,0.282636756162517,0.683030963629263,0.282636756162517,0.282636756162517,0,0.282636756162517,0,0.282636756162517,0,0,0,0,0,0.835728079138476,0,0,0,1.71788409273035,0,0,0.683030963629263,0,0,0,0,0,0,0,0,0.502740853816108,0,0,0,0
"198006019230",0,0,0,0.276711972208301,0,0,0,0,0,1.90778636304326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63787455115687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198006019236",3.90184448113041,0,0,0,0,0,0,0,1.49140554813861,2.20104523919394,1.86438231577234,0.252270963128438,0,1.55398464257636,0,0.621024835494162,0.453549886545217,1.72117877956082,0,0,1.66849341094774,1.94959460976616,0,0,0,3.15195310739288,0,0,2.52395011841276,0,0,0,0,0,0,0,0,0.252270963128438,0,0,0,0
"198006019243",0,0,0,0,0,1.15423910870584,0,0,0,1.56868178789166,1.56868178789166,0.240158890800858,0,0,0,0.433665261156497,0,0,0,0,0,0.240158890800858,0,0,0,2.53942637774734,0,0,0,0,0,0,0,0,0.240158890800858,0,0,0,0,0,0,2.40185947568895
"198006019245",0,0,0,0,0,0,0,0.448406889417779,0,0,2.87308783420764,0,0,0,0,0,0,0,0,2.95000774771514,0.9923057848349,1.41390618168885,0,0,0,1.80703242804128,0,0,0,0,0,0,0,0,0,0,0,0.24912925136369,0,0,0,0
"198306039045",0,0,0,0,0,1.02641293258427,0,0,0,1.26937372122783,0,0,0,0,0,0,0,0,0,0,1.11412420090404,0,0,0,0,0.227822442146384,0,0,0,0,0.227822442146384,0,0,0,0,0,0.413251141352069,0,1.11412420090404,0,0,0
"198306039046",0,0,0,0.238765042678248,0,0.431366980637546,0,0,0,1.23172073333913,2.57532672123551,0,0,0,0,0.431366980637546,0,0,0,0.853734630320662,0,0.238765042678248,0,0,0,1.44365771089658,0,0,0.238765042678248,0,0,0,0,0,0,0,0,0,0,0,0,0
"198306039047",0.431366980637546,0,0,0,0,0.238765042678248,0,0,1.44365771089658,0.238765042678248,0,0,0,0,0,0,0.431366980637546,0,0,0,2.55458257361941,0,0,0,0,0,0,0,0.238765042678248,0,0,0,0.431366980637546,0,0,0,0,0,0,0,0,0
"198306039048",0,0,0,0,0,0,0.553520089263296,0,2.40736435803796,0.803021225560105,0,0,0,0.220303515350425,0,0.400727223910835,0,0,0.400727223910835,0,0.220303515350425,0,0,0,0,0,0,0,0.400727223910835,0,0.220303515350425,0,0,2.1274754368677,0,0,3.00684476692793,0,3.36208968178118,0,0,0
"198306039050",0,0,0,0,0,0,0,0,0,0.244601832576286,0,0,0,0.440977295841139,0,0,0,0,0,0.244601832576286,0.74595347362001,0,0,0,0,0.74595347362001,0,0,0,0,0,0,0,0.440977295841139,0,0,0,0,0,0,0,0
"198306039051",0,0,0,0,0,0,0,0,0,1.80077039690891,1.49474779549618,0,0,0,0,0,0.235875206729046,0,0,0,0.845903266947957,0,0,0,0,1.65941992984934,0,0,1.65941992984934,0,0,0,0,0,0,0,0,0,0,0,0,0.235875206729046
"198306039056",0,0,0,0.241648025875794,0,0.436118365084179,0,0,0.241648025875794,0.738781759892582,0,0,0,0.436118365084179,0,0,0,0,0,0,0,0,0,0,0,0,0.436118365084179,0,0,0,0,1.86669973266431,0,0.241648025875794,0,0,0,0.598857263148446,0,1.77837474614348,0.241648025875794,2.4793778243403
"198306039057",0.271131342696484,0,0,0,0,2.30577718632485,0,0,0,0.271131342696484,3.01110023430038,0,0,0,0,0.484211354937561,0,0,0,0.271131342696484,0,1.33579700591185,0,0,0,1.78894834330978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05385333524651
"198306039074",0,0,0,0,0,0,0,0,0,1.58169163855263,0,0,0,0.415474895248558,0,0,0,0,0,0,0.229161439031866,0,0,0,0,0,0,0,0.229161439031866,0,0,0,0,0.708124536852794,0,0,1.58169163855263,0.415474895248558,0,0,0,0
"198306039083",0,0,0,0,0,0,0,0,0,0.237311286107021,1.37275128527006,0,0,0,0,0,0.237311286107021,0,0,1.43841910036088,0,0.958205618633682,0,0,0,1.71437562968492,0,0,0.428967700384828,0,0,0,0,0,0,0,0,0,0,0,0,0.237311286107021
"198306039085",0.601852069888339,0,0,0,0,2.28292277707104,0,0,1.45907688696868,1.39297721489483,0.742252608530427,0,0,2.02867086729831,0,1.16356457316538,0,0,0,0.438468507591069,0.243076005154324,0.742252608530427,0,0,0,1.16356457316538,0,0,0.243076005154324,0,0,0,0,0,0,0,0,0,0,0,0,1.24602312276122
"198306039136",0,0,0,0,0,0,0,0,0,0,0.938035961883524,0,0,0,0,0,0,0,0,1.41340281006044,0,0,0,0,0,1.94027631795023,0,0,0,0,0,0,0,0,0,0,0,0.230444627012035,0,0,0,0
"198306039139",0.241648025875794,0,0,0,0,0,0,0,0,1.62927758545702,3.93226289059975,0,0,0.241648025875794,0,0,0,0,0,4.1220050632348,0.598857263148446,0.861509105828902,0,0,0.241648025875794,4.05795635682654,0,0,0.241648025875794,0,0,0,0,0,0,0,0,0,0,0,0,2.05842833097327
"198306039148",0,0,0,0,0,0,0,1.43322463483724,0,0.845903266947957,3.47784740465493,0,0,0,0,0,0.235875206729046,0,0,3.24802743078962,0,1.29750770924005,0,0,0,4.3854315859625,0,0,0,0.845903266947957,0,0,0,0,0,0,0,2.28019000761351,0,0,0,0
"198306039155",2.05746748908257,0,0,0,0,0.2331281525742,0,0,2.77039671068903,2.12240661572208,0,1.28797363878519,0,1.6980412042112,0,0,0,0,0,0,0,0.2331281525742,0,0.580890609112397,0,3.0670466073823,0,0.422051152227213,1.04303011540672,0,0,0,1.04303011540672,1.28797363878519,0,0,0.422051152227213,0,0,0,0,0
"198306039157",0,0,0,0,0,0,0,0,0,0,1.26097565290852,0,0,0,0,0,0,0,0,2.32947010666766,0,0,0,0,0,0.753272384315232,0,0,0,0,0,0,0,0,0,0,0,0.247629118390967,0,0,0,0
"198306039158",0,0,0,0,0,0,0,0,0,0,2.79425829412372,0,0,0,0,0,0,0,0,3.57695189033744,0,0,0,0,0,2.34958215722383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198306039163",1.5580814632098,0,0,0,0,3.92823966525237,0,0,0.237311286107021,1.93041728807978,0,0,0,2.86822921066751,0,0,0,0,0,0,0,1.14507776172436,0,0,2.73845839422392,2.33932678013022,0,0,0.428967700384828,0,0.237311286107021,0,0,0,0.237311286107021,0,0,0.237311286107021,0,0.428967700384828,0,2.1399955784165
"198306039168",0.708124536852794,0,0,0,0,0,0,0,3.32448493742327,3.01140274586927,2.30399174136798,0.229161439031866,0,3.0240000972205,0,0.415474895248558,0,0,0,2.95936377471478,0.229161439031866,0.229161439031866,0,0,0,3.40461119665408,0,0,1.81659854093504,0,0.229161439031866,0.415474895248558,0,0.229161439031866,0,0,0,0.229161439031866,0,0,0,1.03062436788329
"198306039170",0,0,0,0,0,0,0,0,0,0.433665261156497,3.4974536721699,0,0,0.433665261156497,0,0,0,0,0,3.85326394401648,0,0.966492066346242,0,0,0,2.11976515800419,0,0,1.31224719217669,0,0,0,0,0,0,0,0,0,0,0,0,0
"198306039215",2.77670356361061,0,0,0,0,0.234530724742035,0,0,3.6583452545644,5.06261591037336,0.234530724742035,0,0,0,0,0,0.234530724742035,0,1.48977541568051,0,0,0.721375617872444,0,0,0,4.2890031262714,0,1.87955995653679,1.36288972022635,0,0.842246518674988,0,0,3.0976219160591,0,0,3.0611585000317,0,0,0,0,0
"198306039216",0,0,0,0,0,0,0,0,0,0.663427492930021,3.03351633896234,0,0,0,0,1.25575672967503,0,0,0,3.03351633896234,1.42024093330538,1.42024093330538,0,0,0,3.78401251430271,0,0.27293263205289,0.27293263205289,0,0,0,0,0,0,0,0,0,0,0,0,0
"198306039217",0,0.438468507591069,0,0,0,0,0,0,0,0,3.51063558239409,0,0,0,0,0.742252608530427,0,0.243076005154324,0,3.8314016810598,0.438468507591069,0.601852069888339,0,0,0,2.84692867134398,0,0,0.438468507591069,0,0,0,0,0,0,0,0,0,0,0,0,0
"198306039219",0,0,0,0,0,0,0,0,0,0,1.39828216444111,0,0,0,0,0,0,0,0,1.78976226464958,0.440977295841139,0,0,0,0,0.244601832576286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198306039221",1.38799422060253,0,0,0,0,0,0,0,4.36127400499297,1.98608595124275,0.241648025875794,0,0,0.241648025875794,0,0.241648025875794,0,0.241648025875794,0,2.12588849673389,2.75751824162929,0.970807543521971,0,0,0,1.94785260989926,0,0,0.738781759892582,0,0,0,0,0,0,0,0,0,0,0,0,1.24130135212367
"198306040051",0,0,0,0,0,0,0,0,0,1.08836730989142,1.2129245258823,0,0,0,0,0,0,0,0,2.16110743171325,1.55643826555441,0,0,0,0,0.866510135620815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198306040197",2.08491765440883,0,0,0.231814856196336,0,2.3900168606917,0,0,4.71506239355789,3.2293180094048,0,0,0,1.59194457819769,0,0.419875789580864,0,0,0,0,0.231814856196336,0.231814856196336,0,0,0,3.33691380550132,0.231814856196336,0,1.73975587261577,0,0.231814856196336,0,0,1.28339265881863,0,0,1.59194457819769,0.231814856196336,0,0,0,0.419875789580864
"198306040199",1.22205241570825,0,0,0,0,0.426595363509474,0,0,3.37409092745314,3.20580888664298,2.13398378324148,0,0,1.80077039690891,0,0.235875206729046,0,0.235875206729046,2.19505436855354,0,0.235875206729046,0.235875206729046,0,0.426595363509474,0,3.45289998782441,0.954009494568947,0,1.88499818834623,0,0.586702149236432,1.75583752964186,0,2.03475894704547,0,0,3.37409092745314,0.724677455631406,1.22205241570825,0,0,0
"198606019084",0,0.26258518216338,0,0,0,0,0,0,0,1.38701216526309,3.25516299525966,0,0,0,0,0.26258518216338,0,0,0,3.50046134242256,0.642307296098682,0.788979450834047,0,0,0,2.86310318003089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198606019093",0,0,0,0,0,0,0,0,0,0,3.52954412354326,0,0,0,0,0,0,0,0,3.26021032703712,0,0,0,0,0,3.08553552410661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198606019095",0.468104369041739,0.261195915905578,0,0,0,0,0,0,0,3.15214407518659,1.12796855797244,0,0,0,0,0.261195915905578,0,0,0,3.60598262047604,0,0.261195915905578,0,0,0,3.48551082084936,0,0,0.468104369041739,0,0,0,0,0,0,0,0,0,0,0,0,0
"198606019098",0,0,0,0,0,0,0,0,0.242488813537673,3.34785635303106,0,0,0,0.242488813537673,0,0,0.242488813537673,0,0.242488813537673,0.242488813537673,0,0,0,0,0,0,0,0,0.242488813537673,0,0.600621159614819,0,0.242488813537673,1.32019994451408,0,0,1.78162594331351,0.242488813537673,3.04606603049607,0,0,0
"198606019101",0.271129035050212,0,0,0,0,0,0,0,0,1.78894025028472,2.13708086036895,0,0,0,0,0,0.271129035050212,0,0,0.938921281817358,0.271129035050212,1.41450342215687,0,0,0,0.809051620307927,0,0,0.659762484207743,0,0,0,0,0,0,0,0,0.271129035050212,0,0,0,0
"198606019113",0.816077919157116,0,0,0,0,0.274143119435264,0,0,1.06209293113181,4.96676823700702,0,0,0,1.85031950236993,0,0,0.816077919157116,0.274143119435264,0,2.9432790311619,0.274143119435264,0,0,0,0,4.43771920631283,0,0,1.16559199629785,0,0,0,0,0.66588345256643,0,0,0.946631846494024,0.489074430622884,0,0,0,2.0312308620304
"198606019116",0.256652249471238,0,0.256652249471238,0,0,0,0,0,0,1.5693952228225,3.14575709515224,0,0,1.01362551055651,0,0,0,0,0,3.82993869294852,0,1.01362551055651,2.78593479624811,0,0.630093765931189,4.60706729241106,0,0,0.256652249471238,0,0,0,0,0.256652249471238,0,0,0,0.256652249471238,0,0,0,0
"198606019124",0,0,0,0,0,0.629828576523768,0,0,0,1.20580212235707,1.56894597622548,0,0,2.76719348065092,0,0,0,0,0,0,0,0.629828576523768,1.0132640662829,0,2.88819804409915,1.9240430256042,0.256523842439186,0,0.774597352870586,0,0,0,0,0,0,0,0,0,0,0,0,0.256523842439186
"198606019137",0,0,0,0,0,0,0,0,0,0,0.962695121241189,0,0,0,0.280467833170943,0.499257726295703,0,0,0,0.962695121241189,0,0.280467833170943,0,0,0,0.499257726295703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198606019173",0.934431382193744,0,0,0,0,2.22398362271854,0,0,0,2.63054830084169,0.5726068879963,0,0,0.934431382193744,0,0.5726068879963,0,0,0,0.5726068879963,0.5726068879963,2.57326058855961,0,0,0,4.399127144969,0,0,1.40891921714145,0,0,0,0,0,0,0,0,0.5726068879963,0,0,0,2.57326058855961
"198606019175",1.82239830950474,0,0,0,0,0.738088165763522,0,0,0,3.42605759380648,0.59825896946645,0,0,3.40814611610907,0,1.1580957175907,0,0.241363016504852,0,0.435649042169107,0,0.860742218563851,0,0,0.241363016504852,3.58946830096925,0.435649042169107,0,4.2056161003687,0,0,2.64640080975729,0,0,0,0,0,0.435649042169107,0,0,0,4.0613643213305
"198606019176",0.45997643365985,0,0,0,0,0.256205590479615,0,0,1.36613840603549,2.51678595861003,0.773838897219273,0,0,1.20481643389972,0,0,0,0.256205590479615,0,0.900198599867964,0,0.256205590479615,0,0,0,3.2512097174802,0,0,2.58511162948662,0,0.256205590479615,0,0,0,0,0,0,0,0,0,0,0.629171158209997
"198606019178",1.86350375427929,0,0,0,0,1.5711955897379,0,0,1.82034194881377,3.52488929075003,0.240837425087424,0.434783327532372,0,1.86350375427929,0,0,0,0.434783327532372,0.968459954976335,2.73648546774028,0,0,0,0,0,3.18414791658053,0,0,0.736808351288564,0,0,0,0,0.240837425087424,0,0,0,0.597155152361029,0,0,0,0
"198606019179",0.679592926838195,0,0,0,0,0.679592926838195,0,0,0,2.88293431525208,1.71217747820823,0,0,0,0,0,0,0,0,4.68847125693426,0,0,0,0,0,4.26809776124593,0,0,0,0.679592926838195,0,0,0,0,0,0,0,0,0,0,0,0.679592926838195
"198606019180",1.85740732514917,0,0,0.250435245271984,0,4.13923531988453,0,0,0.617212347689271,3.0675912988746,0,0.617212347689271,0,1.85740732514917,0.250435245271984,0,0,0,0.250435245271984,1.41838114190996,0,2.02094357948806,0,0,0,3.05426023805728,0.250435245271984,0,0.45054605791826,0,0,0,0,0.45054605791826,0,0,0,0,0,0.250435245271984,0,0.617212347689271
"198606019181",1.72811218890662,0,0,0,0,0.768951935891801,0,0,0,1.43106111643189,1.49795012962018,0,0,0,0,1.28215079874117,0,0.254158354443486,0,3.91011194734249,0,1.10711991781261,0,0,0,2.59847091449995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
